id,date,step_total
4558609924,5/6/2016,3755
4702921684,5/6/2016,6943
5553957443,5/6/2016,9632
5577150313,5/6/2016,4950
6117666160,5/6/2016,3365
6290855005,5/6/2016,6116
6775888955,5/6/2016,4697
6962181067,5/6/2016,5908
7007744171,5/6/2016,11459
7086361926,5/6/2016,12461
8053475328,5/6/2016,13953
8378563200,5/6/2016,7045
8583815059,5/6/2016,5843
8792009665,5/6/2016,0
8877689391,5/6/2016,21727
1503960366,5/7/2016,11992
1624580081,5/7/2016,2104
1644430081,5/7/2016,13372
1844505072,5/7/2016,0
1927972279,5/7/2016,1510
2022484408,5/7/2016,6708
2026352035,5/7/2016,4193
2320127002,5/7/2016,7379
2873212765,5/7/2016,4940
3977333714,5/7/2016,11550
4020332650,5/7/2016,6132
4319703577,5/7/2016,7937
4388161847,5/7/2016,22770
4445114986,5/7/2016,5183
4558609924,5/7/2016,8237
4702921684,5/7/2016,14370
5553957443,5/7/2016,1868
5577150313,5/7/2016,0
6117666160,5/7/2016,7336
6290855005,5/7/2016,5510
6775888955,5/7/2016,1967
6962181067,5/7/2016,6815
7007744171,5/7/2016,0
7086361926,5/7/2016,12827
8053475328,5/7/2016,19769
8378563200,5/7/2016,4468
8583815059,5/7/2016,6117
8792009665,5/7/2016,0
8877689391,5/7/2016,12332
1503960366,5/8/2016,10060
1624580081,5/8/2016,3427
1644430081,5/8/2016,6724
1844505072,5/8/2016,0
1927972279,5/8/2016,0
2022484408,5/8/2016,3292
2026352035,5/8/2016,5528
2320127002,5/8/2016,5161
2873212765,5/8/2016,8168
3977333714,5/8/2016,13585
4020332650,5/8/2016,5862
4319703577,5/8/2016,3672
4388161847,5/8/2016,17298
4445114986,5/8/2016,7303
4558609924,5/8/2016,6543
4702921684,5/8/2016,12857
5553957443,5/8/2016,6083
5577150313,5/8/2016,0
6117666160,5/8/2016,7328
6290855005,5/8/2016,7706
6962181067,5/8/2016,4188
7086361926,5/8/2016,10677
8053475328,5/8/2016,22026
8378563200,5/8/2016,2943
8583815059,5/8/2016,9217
8792009665,5/8/2016,0
8877689391,5/8/2016,10686
1503960366,5/9/2016,12022
1624580081,5/9/2016,1732
1644430081,5/9/2016,6643
1844505072,5/9/2016,0
1927972279,5/9/2016,0
2022484408,5/9/2016,13379
2026352035,5/9/2016,10685
2320127002,5/9/2016,3090
2873212765,5/9/2016,7726
3977333714,5/9/2016,14687
4020332650,5/9/2016,4556
4319703577,5/9/2016,10378
4388161847,5/9/2016,10218
4445114986,5/9/2016,5275
4558609924,5/9/2016,11451
4702921684,5/9/2016,8232
5553957443,5/9/2016,11611
5577150313,5/9/2016,3421
6117666160,5/9/2016,4477
6290855005,5/9/2016,6277
6962181067,5/9/2016,12342
7086361926,5/9/2016,13566
8053475328,5/9/2016,12465
8378563200,5/9/2016,8382
8583815059,5/9/2016,9877
8792009665,5/9/2016,0
8877689391,5/9/2016,20226
1503960366,5/10/2016,12207
1624580081,5/10/2016,2969
1644430081,5/10/2016,9167
1844505072,5/10/2016,0
1927972279,5/10/2016,0
2022484408,5/10/2016,12798
2026352035,5/10/2016,254
2320127002,5/10/2016,6227
2873212765,5/10/2016,8275
3977333714,5/10/2016,13072
4020332650,5/10/2016,5546
4319703577,5/10/2016,9487
4388161847,5/10/2016,10299
4445114986,5/10/2016,3915
4558609924,5/10/2016,6435
4702921684,5/10/2016,10613
5553957443,5/10/2016,16358
5577150313,5/10/2016,8869
6290855005,5/10/2016,0
6962181067,5/10/2016,15448
7086361926,5/10/2016,14433
8053475328,5/10/2016,14810
8378563200,5/10/2016,6582
8583815059,5/10/2016,8240
8792009665,5/10/2016,0
8877689391,5/10/2016,10733
1503960366,5/11/2016,12770
1624580081,5/11/2016,3134
1644430081,5/11/2016,1329
1844505072,5/11/2016,0
1927972279,5/11/2016,0
2022484408,5/11/2016,13272
2026352035,5/11/2016,8580
2320127002,5/11/2016,6424
2873212765,5/11/2016,6440
3977333714,5/11/2016,746
4020332650,5/11/2016,3689
4319703577,5/11/2016,9129
4388161847,5/11/2016,10201
4445114986,5/11/2016,9105
4558609924,5/11/2016,9108
4702921684,5/11/2016,9810
5553957443,5/11/2016,4926
5577150313,5/11/2016,4038
6962181067,5/11/2016,6722
7086361926,5/11/2016,9572
8053475328,5/11/2016,12209
8378563200,5/11/2016,9143
8583815059,5/11/2016,8701
8877689391,5/11/2016,21420
1503960366,5/12/2016,0
1624580081,5/12/2016,2971
1844505072,5/12/2016,0
1927972279,5/12/2016,0
2022484408,5/12/2016,9117
2026352035,5/12/2016,8891
2320127002,5/12/2016,2661
2873212765,5/12/2016,7566
4020332650,5/12/2016,590
4319703577,5/12/2016,17
4388161847,5/12/2016,3369
4445114986,5/12/2016,768
